queue_length,arrival_rate,departure_rate,time_of_day,is_bottleneck
26,0.21,0.3,11,FALSE
13,7.19,2.95,11,TRUE
37,8.56,6.09,14,TRUE
3,3.12,4.98,20,FALSE
32,9.42,8.5,14,FALSE
48,1.93,6.71,13,FALSE
7,9.52,2.51,18,FALSE
37,2.72,4.55,18,FALSE
10,9.31,4.88,8,FALSE
6,4.67,4.52,12,FALSE
25,0.28,6.11,7,FALSE
8,4.65,4.25,14,FALSE
14,3.66,7.4,20,FALSE
48,7.24,9.45,15,FALSE
34,7.62,2.56,20,TRUE
41,4.65,7.21,16,FALSE
44,4.52,6.54,11,FALSE
24,1.09,0.71,9,FALSE
28,0.55,9.01,8,FALSE
28,3.07,0.17,20,TRUE
31,7.06,8.18,10,FALSE
39,6.25,1.91,7,TRUE
6,5.64,9.57,10,FALSE
32,4.34,0.01,8,TRUE
22,2.31,3.26,10,FALSE
4,5.73,1.17,13,FALSE
16,8.35,7.02,20,FALSE
16,6.03,7.73,7,FALSE
20,0.35,1.93,14,FALSE
29,6.79,7.41,18,FALSE
49,2.69,6.74,18,FALSE
47,3.89,0.01,10,TRUE
45,4.37,9.81,15,FALSE
8,8.8,2.44,16,FALSE
1,3.49,2.38,16,FALSE
0,9.26,1.39,21,FALSE
44,8.48,3.68,8,TRUE
30,5.35,2.23,10,TRUE
32,3.17,9.75,12,FALSE
9,7.81,1.92,13,FALSE
0,2.97,2.14,8,FALSE
0,8.59,5.69,11,FALSE
26,2.83,5.97,7,FALSE
10,6.19,6.88,14,FALSE
23,3.66,1.67,15,TRUE
27,8.76,7.06,10,TRUE
34,5.46,5.03,15,FALSE
38,5.51,7.38,19,FALSE
9,1.98,4.55,9,FALSE
9,2.21,6.57,14,FALSE
7,0.4,9.97,8,FALSE
5,7.51,9.83,8,FALSE
7,5.45,6.69,17,FALSE
50,8.39,8.14,18,FALSE
12,7.44,5.78,15,TRUE
12,3.96,2.53,9,FALSE
42,6.52,7.4,14,FALSE
47,6.85,5.86,20,FALSE
21,2.84,5.21,17,FALSE
42,1.33,5.37,11,FALSE
39,0.73,7.37,15,FALSE
6,3.26,7.41,8,FALSE
29,9.2,7.46,17,TRUE
27,6.03,8.14,12,FALSE
12,3.56,5.73,16,FALSE
38,4.52,6.9,15,FALSE
38,4.5,0.73,20,TRUE
6,5.11,5.79,7,FALSE
19,9.37,4.65,7,TRUE
9,8.44,0.16,12,FALSE
42,6.13,6.42,16,FALSE
24,0.61,5.72,9,FALSE
47,6.19,5.62,12,FALSE
15,2.56,2.13,11,FALSE
27,3.75,3.3,14,FALSE
16,7.36,6.71,21,FALSE
48,0.35,1.27,12,FALSE
18,3.77,6.56,13,FALSE
15,8.11,1.04,17,TRUE
13,3.21,8.01,17,FALSE
16,7.23,0.66,20,TRUE
32,1.87,5.86,19,FALSE
29,8.4,5.12,12,TRUE
28,8.58,7.89,11,FALSE
14,4.25,8.88,12,FALSE
45,9.91,7.79,18,TRUE
49,7.6,6.95,20,FALSE
14,7.92,0.74,13,TRUE
32,5.87,1.95,17,TRUE
11,7.97,2.46,20,TRUE
30,4.01,5.37,12,FALSE
25,4.29,7.5,7,FALSE
4,3.07,9.34,20,FALSE
10,0.49,4.48,21,FALSE
49,1.49,5.44,15,FALSE
33,3.2,1.78,21,FALSE
47,6.61,3.88,12,TRUE
40,9.94,4.43,12,TRUE
22,8.81,4.36,8,TRUE
23,9.6,8.12,20,FALSE
20,4.82,4.05,19,FALSE
8,9.9,7.64,20,FALSE
5,6.43,1.39,7,FALSE
8,7.83,0.25,8,FALSE
12,6.33,2.34,10,TRUE
25,4.77,5.32,14,FALSE
16,8.0,9.42,17,FALSE
20,1.64,1.45,18,FALSE
7,0.75,3.94,12,FALSE
49,7.79,4.32,13,TRUE
23,5.71,4.01,9,TRUE
29,5.37,0.03,15,TRUE
23,9.27,6.84,16,TRUE
33,5.26,1.69,12,TRUE
13,3.71,8.32,13,FALSE
7,2.1,3.69,8,FALSE
49,4.46,6.67,19,FALSE
17,1.84,9.99,9,FALSE
29,1.0,2.24,8,FALSE
48,6.12,5.26,10,FALSE
18,2.14,8.16,10,FALSE
8,4.11,3.21,8,FALSE
40,1.01,6.42,12,FALSE
21,1.93,7.92,13,FALSE
30,4.28,8.75,16,FALSE
27,6.04,7.09,13,FALSE
35,3.98,5.36,14,FALSE
6,6.82,7.71,14,FALSE
41,0.27,7.44,20,FALSE
2,3.9,6.27,8,FALSE
18,5.15,2.32,21,TRUE
12,9.69,1.16,20,TRUE
44,5.25,3.97,18,FALSE
33,7.84,6.56,17,FALSE
22,9.92,8.46,9,FALSE
40,9.99,2.99,9,TRUE
9,5.49,5.06,18,FALSE
20,8.44,7.84,21,FALSE
32,8.48,7.13,8,FALSE
3,8.29,4.3,11,FALSE
23,9.18,8.5,7,FALSE
4,4.23,9.27,17,FALSE
41,9.71,5.41,10,TRUE
16,2.25,2.04,8,FALSE
17,3.12,6.62,15,FALSE
38,6.06,3.48,9,TRUE
49,1.7,4.62,7,FALSE
1,8.73,1.45,21,FALSE
14,1.2,0.17,14,FALSE
50,8.9,0.65,8,TRUE
7,3.73,8.99,15,FALSE
20,5.18,1.97,13,TRUE
43,1.61,2.32,18,FALSE
12,2.9,9.25,8,FALSE
38,0.71,8.79,12,FALSE
38,3.08,6.53,21,FALSE
41,9.19,1.52,8,TRUE
41,9.4,3.37,14,TRUE
49,5.5,1.48,8,TRUE
33,6.72,4.67,18,TRUE
33,6.83,1.95,19,TRUE
22,2.32,0.5,19,TRUE
12,7.11,7.01,8,FALSE
24,1.11,4.49,19,FALSE
3,5.65,0.91,17,FALSE
1,4.67,3.81,20,FALSE
1,1.01,7.91,13,FALSE
44,9.04,7.01,21,TRUE
37,9.12,7.5,21,TRUE
26,3.79,0.62,13,TRUE
36,1.96,4.68,12,FALSE
16,6.35,6.57,13,FALSE
5,4.86,9.23,18,FALSE
45,0.34,5.52,8,FALSE
49,2.89,0.51,7,TRUE
16,1.45,4.21,16,FALSE
16,7.63,5.82,18,TRUE
32,7.12,5.43,20,TRUE
29,4.98,6.7,19,FALSE
34,4.48,8.13,12,FALSE
34,6.36,3.75,14,TRUE
32,8.25,6.04,16,TRUE
29,5.91,1.99,18,TRUE
34,6.77,5.41,18,FALSE
3,6.68,0.83,15,FALSE
22,4.76,8.74,14,FALSE
35,0.33,4.89,8,FALSE
9,3.54,6.8,19,FALSE
36,9.73,5.66,19,TRUE
22,5.11,3.65,21,FALSE
39,4.19,3.1,21,FALSE
10,1.1,2.94,20,FALSE
30,5.66,7.78,18,FALSE
24,7.45,1.17,10,TRUE
44,0.46,8.72,9,FALSE
19,8.87,0.77,13,TRUE
45,3.13,7.08,11,FALSE
38,2.47,0.63,19,TRUE
5,2.03,9.08,11,FALSE
17,3.57,6.56,8,FALSE
32,0.19,2.21,11,FALSE
24,9.81,2.74,21,TRUE
47,0.25,0.82,21,FALSE
27,7.44,2.62,11,TRUE
46,9.17,4.06,8,TRUE
45,2.44,7.06,15,FALSE
39,0.08,7.93,10,FALSE
20,4.15,5.32,14,FALSE
9,4.31,6.11,21,FALSE
27,7.34,9.25,12,FALSE
6,0.57,8.67,15,FALSE
17,1.63,1.9,9,FALSE
10,2.5,2.03,19,FALSE
30,3.33,1.07,11,TRUE
49,7.73,2.75,7,TRUE
12,6.25,7.94,15,FALSE
4,3.37,8.74,10,FALSE
35,7.93,3.47,11,TRUE
32,6.34,9.0,13,FALSE
25,6.14,8.22,20,FALSE
20,1.89,5.6,11,FALSE
6,7.86,8.73,11,FALSE
16,5.78,4.0,20,TRUE
34,7.14,0.5,15,TRUE
45,3.0,4.49,16,FALSE
14,1.57,6.31,11,FALSE
26,8.58,3.3,10,TRUE
50,1.21,4.37,8,FALSE
39,6.83,2.33,14,TRUE
35,3.76,6.1,18,FALSE
31,0.04,8.89,19,FALSE
22,3.01,3.02,21,FALSE
35,9.13,4.87,12,TRUE
6,9.64,3.53,17,FALSE
25,0.58,0.19,11,FALSE
9,6.64,4.06,13,FALSE
40,0.46,2.36,13,FALSE
43,1.21,0.01,15,FALSE
25,5.01,1.62,18,TRUE
41,8.71,1.51,19,TRUE
41,3.7,5.15,18,FALSE
35,6.47,9.09,18,FALSE
19,1.9,6.63,17,FALSE
4,5.02,0.33,14,FALSE
47,8.75,4.07,17,TRUE
8,4.55,9.13,10,FALSE
36,5.48,8.3,7,FALSE
30,3.46,1.87,10,TRUE
20,0.82,1.65,15,FALSE
31,6.79,5.5,11,FALSE
48,6.15,8.0,14,FALSE
1,3.06,3.77,17,FALSE
39,0.05,9.46,8,FALSE
10,8.19,8.02,17,FALSE
0,3.51,7.92,20,FALSE
1,6.18,7.14,19,FALSE
42,0.65,6.6,12,FALSE
43,7.61,1.46,19,TRUE
31,9.1,2.9,12,TRUE
21,9.49,1.25,18,TRUE
46,3.28,1.68,17,TRUE
37,0.83,2.54,10,FALSE
2,3.34,0.61,21,FALSE
25,1.18,7.97,12,FALSE
17,4.51,0.79,8,TRUE
38,0.16,3.47,11,FALSE
50,4.12,9.83,12,FALSE
6,3.79,6.87,8,FALSE
30,0.29,1.11,21,FALSE
27,9.83,5.66,19,TRUE
16,0.48,2.5,20,FALSE
50,3.58,6.55,10,FALSE
32,4.47,3.89,17,FALSE
41,0.51,4.62,18,FALSE
37,1.59,9.54,17,FALSE
41,3.26,7.65,18,FALSE
20,9.95,8.38,8,TRUE
20,1.14,5.22,13,FALSE
43,5.1,0.62,7,TRUE
21,7.34,7.37,11,FALSE
9,1.23,4.84,12,FALSE
24,0.47,4.62,16,FALSE
24,6.09,5.12,19,FALSE
32,3.78,9.03,8,FALSE
36,1.0,7.98,7,FALSE
35,4.26,5.52,21,FALSE
41,2.25,5.14,18,FALSE
37,0.23,8.56,17,FALSE
25,2.98,3.39,12,FALSE
21,2.92,6.62,17,FALSE
18,3.14,3.22,15,FALSE
43,0.23,3.34,19,FALSE
26,6.78,0.51,8,TRUE
30,3.78,6.33,14,FALSE
45,5.26,9.08,20,FALSE
23,5.82,5.2,18,FALSE
15,2.98,7.09,9,FALSE
28,2.0,4.41,13,FALSE
7,5.15,2.24,8,FALSE
1,4.49,3.3,19,FALSE
38,7.01,9.95,15,FALSE
36,6.01,3.87,17,TRUE
0,6.43,2.37,10,FALSE
31,4.72,9.48,7,FALSE
35,7.86,6.43,17,FALSE
38,1.83,8.63,14,FALSE
39,6.18,7.77,21,FALSE
7,2.85,3.25,11,FALSE
25,9.88,0.46,20,TRUE
25,8.27,1.89,19,TRUE
35,9.47,6.23,8,TRUE
41,8.22,9.35,11,FALSE
2,7.69,2.1,20,FALSE
37,6.67,1.53,8,TRUE
37,7.64,5.78,11,TRUE
48,9.76,9.89,8,FALSE
36,9.52,1.38,18,TRUE
17,9.15,2.22,7,TRUE
15,9.13,5.99,10,TRUE
5,1.23,6.3,14,FALSE
19,7.3,9.2,20,FALSE
28,7.87,5.31,20,TRUE
40,9.52,5.04,20,TRUE
25,4.94,5.48,10,FALSE
10,5.52,2.29,9,FALSE
35,9.32,3.26,7,TRUE
45,9.62,3.68,11,TRUE
28,8.82,6.92,20,TRUE
42,4.16,8.81,11,FALSE
50,7.32,3.31,8,TRUE
12,0.47,3.47,20,FALSE
23,1.51,0.58,16,FALSE
39,5.27,2.06,11,TRUE
21,9.46,3.1,7,TRUE
19,1.97,9.73,8,FALSE
48,2.52,9.46,18,FALSE
19,5.59,1.11,20,TRUE
32,4.81,0.22,18,TRUE
21,0.5,2.08,11,FALSE
45,9.94,4.73,15,TRUE
39,2.48,3.29,8,FALSE
4,8.6,9.52,7,FALSE
25,8.14,7.09,14,FALSE
39,2.02,3.77,15,FALSE
13,7.24,5.23,8,TRUE
35,1.15,7.29,17,FALSE
30,1.42,3.47,19,FALSE
39,6.45,2.7,17,TRUE
28,3.42,8.76,19,FALSE
40,4.46,1.98,7,TRUE
25,7.29,6.1,14,FALSE
44,0.37,3.24,19,FALSE
45,8.49,2.45,19,TRUE
41,2.63,8.1,18,FALSE
43,2.22,9.56,21,FALSE
14,0.11,9.94,17,FALSE
34,5.73,3.05,17,TRUE
14,7.11,1.36,19,TRUE
30,6.49,4.36,21,TRUE
1,5.16,4.79,20,FALSE
34,0.6,4.92,21,FALSE
24,2.25,1.27,9,FALSE
36,1.54,7.4,7,FALSE
28,2.25,5.81,18,FALSE
32,1.6,4.55,7,FALSE
0,8.69,5.64,12,FALSE
38,0.14,6.92,14,FALSE
42,3.74,0.73,15,TRUE
4,6.47,7.42,21,FALSE
20,0.83,8.11,12,FALSE
5,7.21,4.37,17,FALSE
49,9.05,2.16,21,TRUE
0,2.97,2.41,12,FALSE
3,8.84,6.62,8,FALSE
48,3.6,4.41,8,FALSE
48,4.18,5.05,8,FALSE
40,2.16,1.12,15,FALSE
21,0.02,1.61,9,FALSE
9,6.75,4.34,16,FALSE
32,7.77,3.12,19,TRUE
22,6.14,0.32,11,TRUE
44,8.73,8.81,9,FALSE
17,7.02,7.19,12,FALSE
50,8.71,4.75,8,TRUE
9,4.17,8.32,17,FALSE
37,9.52,0.84,16,TRUE
24,9.8,7.82,10,TRUE
15,1.3,3.29,16,FALSE
29,0.92,5.96,7,FALSE
42,1.22,5.02,21,FALSE
4,0.55,9.12,19,FALSE
28,3.61,6.93,13,FALSE
37,8.21,1.93,21,TRUE
49,6.66,1.56,21,TRUE
13,2.73,6.05,16,FALSE
9,5.36,0.79,18,FALSE
9,0.22,1.32,17,FALSE
1,5.53,4.28,17,FALSE
24,4.12,5.46,11,FALSE
22,0.36,3.14,14,FALSE
3,0.74,5.67,16,FALSE
30,4.32,6.42,7,FALSE
9,0.5,7.82,20,FALSE
27,2.7,8.88,16,FALSE
36,0.67,9.78,14,FALSE
28,8.05,8.48,11,FALSE
2,7.73,2.97,15,FALSE
8,6.35,6.02,17,FALSE
36,2.25,3.25,7,FALSE
2,6.79,0.7,17,FALSE
0,7.44,8.17,10,FALSE
43,5.49,8.38,14,FALSE
24,4.28,4.58,10,FALSE
32,7.69,0.52,15,TRUE
35,1.06,5.56,16,FALSE
20,3.14,2.25,18,FALSE
9,0.71,1.83,14,FALSE
48,4.8,4.43,12,FALSE
42,2.55,4.18,9,FALSE
19,6.42,6.66,7,FALSE
28,5.2,1.0,13,TRUE
8,5.18,7.81,12,FALSE
27,9.94,8.41,9,TRUE
20,1.83,0.22,17,TRUE
25,4.16,1.35,16,TRUE
42,7.54,0.55,11,TRUE
25,6.49,4.56,20,TRUE
50,4.32,6.4,16,FALSE
18,0.84,8.93,16,FALSE
11,1.04,4.47,18,FALSE
37,4.86,0.34,13,TRUE
47,8.41,7.18,17,FALSE
39,1.71,9.1,19,FALSE
42,4.09,7.82,14,FALSE
19,4.4,3.47,16,FALSE
30,3.61,5.16,8,FALSE
7,0.03,6.41,15,FALSE
6,2.09,0.08,7,FALSE
11,1.46,9.7,17,FALSE
1,9.42,9.82,7,FALSE
39,3.73,9.35,7,FALSE
6,8.22,9.94,15,FALSE
32,1.03,8.24,8,FALSE
16,1.99,9.98,12,FALSE
14,4.48,9.26,13,FALSE
20,0.26,4.57,9,FALSE
26,2.68,4.92,16,FALSE
48,4.28,4.82,19,FALSE
31,4.07,7.51,17,FALSE
8,9.33,9.74,9,FALSE
30,2.53,2.2,10,FALSE
39,7.27,0.2,15,TRUE
47,0.09,2.6,8,FALSE
27,7.65,8.84,14,FALSE
44,1.63,1.47,14,FALSE
32,1.83,0.51,9,FALSE
36,0.2,8.73,16,FALSE
17,6.19,0.9,13,TRUE
30,8.12,2.82,20,TRUE
36,2.12,4.01,13,FALSE
22,5.9,5.13,21,FALSE
23,8.44,9.57,21,FALSE
25,5.38,8.61,10,FALSE
22,1.55,7.25,12,FALSE
49,2.21,7.0,8,FALSE
34,7.92,6.67,7,FALSE
38,5.92,7.85,18,FALSE
1,9.41,6.57,20,FALSE
32,8.18,8.75,13,FALSE
39,3.15,6.29,17,FALSE
26,6.62,9.61,18,FALSE
22,4.36,6.21,13,FALSE
26,4.1,9.5,20,FALSE
6,8.32,9.7,15,FALSE
3,2.56,6.56,20,FALSE
38,8.29,4.92,9,TRUE
49,6.98,5.39,15,TRUE
15,0.44,4.44,7,FALSE
12,5.94,7.44,8,FALSE
1,7.34,1.63,13,FALSE
34,2.74,9.92,20,FALSE
36,1.36,5.64,15,FALSE
41,9.99,8.63,16,FALSE
39,4.9,4.4,11,FALSE
45,5.74,8.21,16,FALSE
42,3.58,7.38,17,FALSE
22,9.91,8.05,15,TRUE
33,7.07,1.54,16,TRUE
47,1.83,7.61,18,FALSE
0,2.39,4.79,12,FALSE
0,4.28,2.46,8,FALSE
18,3.72,2.78,8,FALSE
24,4.49,4.65,16,FALSE
50,5.44,8.21,12,FALSE
40,4.45,0.15,17,TRUE
36,7.93,4.05,12,TRUE
41,7.91,6.53,13,FALSE
23,8.78,5.13,9,TRUE
41,3.31,4.51,16,FALSE
48,8.96,6.84,13,TRUE
27,9.79,3.85,10,TRUE
14,3.52,7.13,10,FALSE
1,1.69,9.99,12,FALSE
33,9.33,4.35,20,TRUE
1,5.9,0.28,15,FALSE
49,9.08,9.36,16,FALSE
15,2.0,9.73,17,FALSE
44,8.26,9.21,18,FALSE
26,7.39,8.73,20,FALSE
17,2.11,9.99,21,FALSE
6,8.64,1.61,14,FALSE
36,0.04,2.58,17,FALSE
34,7.17,6.24,10,FALSE
39,8.26,0.67,21,TRUE
22,4.54,5.59,18,FALSE
43,4.81,5.64,17,FALSE
48,9.15,3.94,18,TRUE
2,6.35,4.35,10,FALSE
43,8.89,2.08,14,TRUE
6,8.49,9.71,20,FALSE
22,6.31,7.82,7,FALSE
38,3.03,7.37,15,FALSE
29,1.29,2.74,9,FALSE
21,4.23,3.11,16,FALSE
10,1.29,9.82,21,FALSE
3,6.19,1.26,13,FALSE
43,6.0,8.27,17,FALSE
37,6.93,1.56,10,TRUE
14,1.8,7.35,17,FALSE
39,5.65,9.62,7,FALSE
37,7.34,1.3,14,TRUE
30,6.87,10.0,8,FALSE
4,2.26,2.88,11,FALSE
13,6.4,8.95,8,FALSE
48,3.56,2.16,15,FALSE
13,2.37,0.13,9,TRUE
1,3.79,3.97,15,FALSE
16,6.69,1.84,13,TRUE
41,1.44,4.76,17,FALSE
41,1.86,2.23,12,FALSE
44,2.97,5.29,14,FALSE
19,8.15,3.68,18,TRUE
32,4.16,9.47,20,FALSE
43,5.36,5.78,21,FALSE
22,7.54,4.7,14,TRUE
16,8.23,4.33,11,TRUE
20,1.62,9.86,21,FALSE
39,8.36,6.02,18,TRUE
43,7.18,0.18,20,TRUE
16,2.98,1.33,12,TRUE
22,5.92,1.95,18,TRUE
39,5.85,0.06,12,TRUE
39,6.08,2.49,8,TRUE
42,6.49,0.92,15,TRUE
35,2.85,9.98,9,FALSE
30,3.8,7.55,12,FALSE
36,9.01,6.28,17,TRUE
15,5.74,6.36,15,FALSE
16,3.28,0.31,13,TRUE
10,6.5,6.28,20,FALSE
8,9.82,8.68,13,FALSE
42,6.78,8.25,13,FALSE
28,5.6,4.7,18,FALSE
29,9.0,2.69,9,TRUE
38,6.26,8.62,13,FALSE
10,4.11,4.97,17,FALSE
20,6.12,6.55,12,FALSE
49,7.24,9.32,7,FALSE
1,2.24,9.81,11,FALSE
9,1.9,3.17,21,FALSE
8,9.22,7.24,18,FALSE
32,3.24,0.34,17,TRUE
22,1.88,5.31,10,FALSE
21,0.52,1.08,8,FALSE
36,4.08,0.75,16,TRUE
40,7.4,6.77,19,FALSE
12,9.08,9.36,14,FALSE
39,7.32,3.96,15,TRUE
3,4.7,1.02,12,FALSE
6,4.95,8.97,19,FALSE
38,3.84,8.36,11,FALSE
49,8.15,2.0,9,TRUE
7,3.63,5.45,11,FALSE
1,5.95,3.24,16,FALSE
6,1.34,9.56,21,FALSE
15,0.11,2.61,11,FALSE
45,5.76,5.83,10,FALSE
43,9.48,6.25,21,TRUE
40,3.22,6.39,9,FALSE
14,1.65,9.19,10,FALSE
50,4.47,3.34,21,FALSE
15,7.51,1.5,11,TRUE
23,4.67,8.51,12,FALSE
26,5.94,3.64,15,TRUE
5,0.75,4.59,21,FALSE
7,1.04,4.27,20,FALSE
16,2.72,2.42,21,FALSE
36,5.9,7.65,11,FALSE
31,7.16,5.62,13,TRUE
13,2.47,1.53,17,FALSE
4,4.77,0.58,21,FALSE
3,7.69,8.07,20,FALSE
21,3.09,5.96,16,FALSE
24,0.17,5.74,18,FALSE
27,0.91,1.3,18,FALSE
36,2.85,4.51,17,FALSE
33,2.42,1.32,14,FALSE
31,5.02,3.11,17,TRUE
6,3.6,1.97,21,FALSE
22,0.9,1.9,21,FALSE
10,4.48,2.22,21,FALSE
7,3.19,2.55,7,FALSE
7,9.46,2.08,19,FALSE
7,5.07,5.45,16,FALSE
10,1.45,9.71,12,FALSE
29,4.1,2.71,18,FALSE
3,3.4,2.43,13,FALSE
38,7.01,5.08,16,TRUE
19,9.08,5.2,7,TRUE
24,7.38,1.22,15,TRUE
25,0.72,9.27,13,FALSE
49,9.8,1.76,21,TRUE
49,2.67,1.9,14,FALSE
11,6.85,3.24,14,TRUE
27,0.16,4.6,14,FALSE
5,1.74,9.77,13,FALSE
14,2.87,9.87,11,FALSE
28,5.77,8.99,10,FALSE
11,5.71,4.64,21,FALSE
35,8.34,4.3,7,TRUE
17,1.64,1.85,15,FALSE
25,9.07,5.63,11,TRUE
20,6.74,1.9,12,TRUE
22,2.64,1.32,16,FALSE
47,0.88,0.03,10,FALSE
2,5.68,0.98,12,FALSE
49,5.9,5.47,13,FALSE
33,2.68,9.57,21,FALSE
49,3.67,2.85,9,FALSE
36,6.5,6.42,10,FALSE
37,2.1,4.51,19,FALSE
28,2.6,9.1,15,FALSE
44,6.82,8.14,17,FALSE
34,3.77,4.75,12,FALSE
28,8.68,1.28,13,TRUE
44,8.53,0.28,12,TRUE
26,9.29,1.23,17,TRUE
31,6.29,0.35,12,TRUE
27,9.5,0.67,14,TRUE
38,9.15,6.87,10,TRUE
31,2.62,7.82,8,FALSE
32,5.9,1.33,16,TRUE
9,7.63,7.21,21,FALSE
33,7.69,3.51,19,TRUE
0,4.09,1.89,18,FALSE
19,1.1,5.2,19,FALSE
0,2.73,1.47,17,FALSE
47,5.72,7.31,8,FALSE
34,5.07,9.89,7,FALSE
25,0.74,3.59,16,FALSE
5,1.43,5.61,7,FALSE
35,5.04,4.08,12,FALSE
27,8.41,9.98,12,FALSE
43,1.41,9.86,16,FALSE
7,6.28,3.74,17,FALSE
43,7.24,9.51,7,FALSE
19,4.1,3.73,7,FALSE
0,7.38,5.88,10,FALSE
39,6.69,0.48,11,TRUE
18,7.77,0.02,16,TRUE
44,3.93,8.95,10,FALSE
14,1.19,4.12,19,FALSE
5,7.06,9.87,9,FALSE
43,5.47,7.18,18,FALSE
22,0.66,8.45,10,FALSE
23,7.15,6.06,17,FALSE
11,9.08,4.57,10,TRUE
8,5.77,0.37,10,FALSE
40,5.46,8.69,20,FALSE
41,2.59,6.95,17,FALSE
43,3.75,7.46,10,FALSE
50,4.88,9.7,8,FALSE
10,7.91,0.76,18,FALSE
41,9.54,6.45,16,TRUE
50,9.44,5.98,21,TRUE
21,7.45,2.72,21,TRUE
42,3.71,0.04,8,TRUE
24,1.44,7.57,12,FALSE
5,2.28,1.43,7,FALSE
13,2.52,5.73,17,FALSE
48,0.08,1.05,16,FALSE
22,5.52,1.61,9,TRUE
50,4.44,4.86,18,FALSE
30,9.09,6.07,16,TRUE
50,1.45,2.06,18,FALSE
36,7.63,4.19,14,TRUE
18,3.03,7.74,11,FALSE
11,5.12,3.1,10,TRUE
21,7.47,4.32,14,TRUE
26,8.38,9.96,13,FALSE
49,5.9,0.29,8,TRUE
11,6.78,3.73,11,TRUE
3,7.95,8.84,8,FALSE
41,8.45,4.22,16,TRUE
9,5.48,1.9,16,FALSE
29,1.99,0.86,14,FALSE
30,7.74,8.56,11,FALSE
0,0.84,0.87,18,FALSE
46,3.41,9.43,11,FALSE
30,4.05,6.28,8,FALSE
45,3.86,1.98,21,TRUE
33,8.95,3.75,19,TRUE
11,6.51,6.84,21,FALSE
3,5.01,9.07,15,FALSE
38,8.82,5.53,7,TRUE
35,5.84,5.57,10,FALSE
