day_of_week,date,hour_of_day,wait_time_minutes
Tuesday,2022-01-11,15,23.0
Tuesday,2022-01-11,16,26.9
Tuesday,2022-01-11,17,16.5
Wednesday,2022-01-12,9,13.8
Wednesday,2022-01-12,10,21.7
Wednesday,2022-01-12,11,14.7
Wednesday,2022-01-12,12,20.6
Wednesday,2022-01-12,13,20.6
Wednesday,2022-01-12,14,7.8
Wednesday,2022-01-12,15,25.5
Wednesday,2022-01-12,16,29.8
Wednesday,2022-01-12,17,16.5
Thursday,2022-01-13,9,28.3
Thursday,2022-01-13,10,18.3
Thursday,2022-01-13,11,34.7
Thursday,2022-01-13,12,18.3
Thursday,2022-01-13,13,9.9
Thursday,2022-01-13,14,9.5
Thursday,2022-01-13,15,7.7
Thursday,2022-01-13,16,31.1
Thursday,2022-01-13,17,14.7
Friday,2022-01-14,9,26.5
Friday,2022-01-14,10,13.9
Friday,2022-01-14,11,10.8
Friday,2022-01-14,12,12.8
Friday,2022-01-14,13,12.7
Friday,2022-01-14,14,11.1
Friday,2022-01-14,15,22.6
Friday,2022-01-14,16,20.4
Friday,2022-01-14,17,16.9
Saturday,2022-01-15,9,10.4
Saturday,2022-01-15,10,6.9
Saturday,2022-01-15,11,5.4
Saturday,2022-01-15,12,16.3
Saturday,2022-01-15,13,10.4
Saturday,2022-01-15,14,5.0
Saturday,2022-01-15,15,19.8
Saturday,2022-01-15,16,10.4
Saturday,2022-01-15,17,19.9
Sunday,2022-01-16,9,12.7
Sunday,2022-01-16,10,10.4
Sunday,2022-01-16,11,7.8
Sunday,2022-01-16,12,5.0
Sunday,2022-01-16,13,11.8
Sunday,2022-01-16,14,12.7
Sunday,2022-01-16,15,14.6
Sunday,2022-01-16,16,8.1
Sunday,2022-01-16,17,5.0
Monday,2022-01-17,9,10.8
Monday,2022-01-17,10,30.1
Monday,2022-01-17,11,17.7
Monday,2022-01-17,12,23.5
Monday,2022-01-17,13,11.7
Monday,2022-01-17,14,6.4
Monday,2022-01-17,15,28.5
Monday,2022-01-17,16,30.0
Monday,2022-01-17,17,25.9
Tuesday,2022-01-18,9,34.9
Tuesday,2022-01-18,10,32.2
Tuesday,2022-01-18,11,34.5
Tuesday,2022-01-18,12,16.0
Tuesday,2022-01-18,13,14.7
Tuesday,2022-01-18,14,28.3
Tuesday,2022-01-18,15,23.8
Tuesday,2022-01-18,16,26.8
Tuesday,2022-01-18,17,23.8
Wednesday,2022-01-19,9,21.3
Wednesday,2022-01-19,10,29.8
Wednesday,2022-01-19,11,33.3
Wednesday,2022-01-19,12,5.9
Wednesday,2022-01-19,13,10.0
Wednesday,2022-01-19,14,10.5
Wednesday,2022-01-19,15,16.9
Wednesday,2022-01-19,16,27.9
Wednesday,2022-01-19,17,20.0
Thursday,2022-01-20,9,22.1
Thursday,2022-01-20,10,20.4
Thursday,2022-01-20,11,14.6
Thursday,2022-01-20,12,17.4
Thursday,2022-01-20,13,5.0
Thursday,2022-01-20,14,12.5
Thursday,2022-01-20,15,6.4
Thursday,2022-01-20,16,23.3
Thursday,2022-01-20,17,12.0
Friday,2022-01-21,9,34.3
Friday,2022-01-21,10,17.0
Friday,2022-01-21,11,21.0
Friday,2022-01-21,12,6.0
Friday,2022-01-21,13,12.1
Friday,2022-01-21,14,27.2
Friday,2022-01-21,15,23.5
Friday,2022-01-21,16,31.4
Friday,2022-01-21,17,12.3
Saturday,2022-01-22,9,6.8
Saturday,2022-01-22,10,22.8
Saturday,2022-01-22,11,18.2
Saturday,2022-01-22,12,12.1
Saturday,2022-01-22,13,9.3
Saturday,2022-01-22,14,6.2
Saturday,2022-01-22,15,5.0
Saturday,2022-01-22,16,12.0
Saturday,2022-01-22,17,13.8
Sunday,2022-01-23,9,17.5
Sunday,2022-01-23,10,13.8
Sunday,2022-01-23,11,8.7
Sunday,2022-01-23,12,12.7
Sunday,2022-01-23,13,5.2
Sunday,2022-01-23,14,15.7
Sunday,2022-01-23,15,12.4
Sunday,2022-01-23,16,14.6
Sunday,2022-01-23,17,5.0
Monday,2022-01-24,9,17.4
Monday,2022-01-24,10,25.6
Monday,2022-01-24,11,14.1
Monday,2022-01-24,12,5.0
Monday,2022-01-24,13,5.0
Monday,2022-01-24,14,29.1
Monday,2022-01-24,15,29.7
Monday,2022-01-24,16,11.7
Monday,2022-01-24,17,29.4
Tuesday,2022-01-25,9,21.5
Tuesday,2022-01-25,10,24.1
Tuesday,2022-01-25,11,34.4
Tuesday,2022-01-25,12,16.1
Tuesday,2022-01-25,13,14.4
Tuesday,2022-01-25,14,22.9
Tuesday,2022-01-25,15,25.8
Tuesday,2022-01-25,16,6.7
Tuesday,2022-01-25,17,29.8
Wednesday,2022-01-26,9,29.8
Wednesday,2022-01-26,10,15.7
Wednesday,2022-01-26,11,19.0
Wednesday,2022-01-26,12,5.0
Wednesday,2022-01-26,13,11.7
Wednesday,2022-01-26,14,23.3
Wednesday,2022-01-26,15,23.6
Wednesday,2022-01-26,16,19.9
Wednesday,2022-01-26,17,24.3
Thursday,2022-01-27,9,35.4
Thursday,2022-01-27,10,23.8
Thursday,2022-01-27,11,24.1
Thursday,2022-01-27,12,20.2
Thursday,2022-01-27,13,16.7
Thursday,2022-01-27,14,19.5
Thursday,2022-01-27,15,6.3
Thursday,2022-01-27,16,14.2
Thursday,2022-01-27,17,22.4
Friday,2022-01-28,9,23.5
Friday,2022-01-28,10,28.3
Friday,2022-01-28,11,33.8
Friday,2022-01-28,12,15.7
Friday,2022-01-28,13,12.3
Friday,2022-01-28,14,7.9
Friday,2022-01-28,15,15.8
Friday,2022-01-28,16,26.6
Friday,2022-01-28,17,10.1
Saturday,2022-01-29,9,6.9
Saturday,2022-01-29,10,12.6
Saturday,2022-01-29,11,5.6
Saturday,2022-01-29,12,5.0
Saturday,2022-01-29,13,5.0
Saturday,2022-01-29,14,7.0
Saturday,2022-01-29,15,17.0
Saturday,2022-01-29,16,15.6
Saturday,2022-01-29,17,5.0
Sunday,2022-01-30,9,11.0
Sunday,2022-01-30,10,12.8
Sunday,2022-01-30,11,19.5
Sunday,2022-01-30,12,5.0
Sunday,2022-01-30,13,7.3
Sunday,2022-01-30,14,17.0
Sunday,2022-01-30,15,9.6
Sunday,2022-01-30,16,21.8
Sunday,2022-01-30,17,8.9
Monday,2022-01-31,9,18.2
Monday,2022-01-31,10,6.1
Monday,2022-01-31,11,19.9
Monday,2022-01-31,12,16.5
Monday,2022-01-31,13,7.3
Monday,2022-01-31,14,16.4
Monday,2022-01-31,15,9.4
Monday,2022-01-31,16,24.4
Monday,2022-01-31,17,11.0
Tuesday,2022-02-01,9,30.8
Tuesday,2022-02-01,10,23.4
Tuesday,2022-02-01,11,22.7
Tuesday,2022-02-01,12,22.7
Tuesday,2022-02-01,13,12.6
Tuesday,2022-02-01,14,23.4
Tuesday,2022-02-01,15,14.6
Tuesday,2022-02-01,16,21.7
Tuesday,2022-02-01,17,5.5
Wednesday,2022-02-02,9,22.2
Wednesday,2022-02-02,10,16.7
Wednesday,2022-02-02,11,31.3
Wednesday,2022-02-02,12,21.6
Wednesday,2022-02-02,13,16.7
Wednesday,2022-02-02,14,22.0
Wednesday,2022-02-02,15,27.8
Wednesday,2022-02-02,16,5.8
Wednesday,2022-02-02,17,26.1
Thursday,2022-02-03,9,19.8
Thursday,2022-02-03,10,28.5
Thursday,2022-02-03,11,30.1
Thursday,2022-02-03,12,22.9
Thursday,2022-02-03,13,7.7
Thursday,2022-02-03,14,6.6
Thursday,2022-02-03,15,23.7
Thursday,2022-02-03,16,17.7
Thursday,2022-02-03,17,12.9
Friday,2022-02-04,9,26.5
Friday,2022-02-04,10,22.4
Friday,2022-02-04,11,32.5
Friday,2022-02-04,12,21.0
Friday,2022-02-04,13,11.8
Friday,2022-02-04,14,29.3
Friday,2022-02-04,15,16.6
Friday,2022-02-04,16,21.8
Friday,2022-02-04,17,8.0
Saturday,2022-02-05,9,17.3
Saturday,2022-02-05,10,10.9
Saturday,2022-02-05,11,23.7
Saturday,2022-02-05,12,15.7
Saturday,2022-02-05,13,10.9
Saturday,2022-02-05,14,19.7
Saturday,2022-02-05,15,5.0
Saturday,2022-02-05,16,15.6
Saturday,2022-02-05,17,18.7
Sunday,2022-02-06,9,5.0
Sunday,2022-02-06,10,12.5
Sunday,2022-02-06,11,18.5
Sunday,2022-02-06,12,12.8
Sunday,2022-02-06,13,10.9
Sunday,2022-02-06,14,16.4
Sunday,2022-02-06,15,5.0
Sunday,2022-02-06,16,5.0
Sunday,2022-02-06,17,5.3
Monday,2022-02-07,9,31.6
Monday,2022-02-07,10,14.7
Monday,2022-02-07,11,33.9
Monday,2022-02-07,12,6.9
Monday,2022-02-07,13,10.5
Monday,2022-02-07,14,25.4
Monday,2022-02-07,15,6.3
Monday,2022-02-07,16,32.3
Monday,2022-02-07,17,9.1
Tuesday,2022-02-08,9,19.0
Tuesday,2022-02-08,10,17.0
Tuesday,2022-02-08,11,7.5
Tuesday,2022-02-08,12,8.2
Tuesday,2022-02-08,13,23.2
Tuesday,2022-02-08,14,15.6
Tuesday,2022-02-08,15,25.9
Tuesday,2022-02-08,16,6.6
Tuesday,2022-02-08,17,31.4
Wednesday,2022-02-09,9,29.6
Wednesday,2022-02-09,10,8.9
Wednesday,2022-02-09,11,23.7
Wednesday,2022-02-09,12,10.5
Wednesday,2022-02-09,13,16.1
Wednesday,2022-02-09,14,17.5
Wednesday,2022-02-09,15,29.5
Wednesday,2022-02-09,16,11.4
Wednesday,2022-02-09,17,14.9
Thursday,2022-02-10,9,22.0
Thursday,2022-02-10,10,6.1
Thursday,2022-02-10,11,22.7
Thursday,2022-02-10,12,12.3
Thursday,2022-02-10,13,20.6
Thursday,2022-02-10,14,12.5
Thursday,2022-02-10,15,13.8
Thursday,2022-02-10,16,19.2
Thursday,2022-02-10,17,9.0
Friday,2022-02-11,9,33.0
Friday,2022-02-11,10,30.9
Friday,2022-02-11,11,10.3
Friday,2022-02-11,12,6.2
Friday,2022-02-11,13,12.5
Friday,2022-02-11,14,30.0
Friday,2022-02-11,15,24.6
Friday,2022-02-11,16,29.2
Friday,2022-02-11,17,8.7
Saturday,2022-02-12,9,10.7
Saturday,2022-02-12,10,10.4
Saturday,2022-02-12,11,11.5
Saturday,2022-02-12,12,15.2
Saturday,2022-02-12,13,12.8
Saturday,2022-02-12,14,20.0
Saturday,2022-02-12,15,15.7
Saturday,2022-02-12,16,17.8
Saturday,2022-02-12,17,22.7
Sunday,2022-02-13,9,7.4
Sunday,2022-02-13,10,22.2
Sunday,2022-02-13,11,6.2
Sunday,2022-02-13,12,8.7
Sunday,2022-02-13,13,15.2
Sunday,2022-02-13,14,11.2
Sunday,2022-02-13,15,7.2
Sunday,2022-02-13,16,15.8
Sunday,2022-02-13,17,15.6
Monday,2022-02-14,9,22.6
Monday,2022-02-14,10,24.6
Monday,2022-02-14,11,7.5
Monday,2022-02-14,12,5.0
Monday,2022-02-14,13,12.2
Monday,2022-02-14,14,12.8
Monday,2022-02-14,15,22.1
Monday,2022-02-14,16,18.5
Monday,2022-02-14,17,25.5
Tuesday,2022-02-15,9,32.6
Tuesday,2022-02-15,10,12.4
Tuesday,2022-02-15,11,7.0
Tuesday,2022-02-15,12,21.1
Tuesday,2022-02-15,13,5.0
Tuesday,2022-02-15,14,16.1
Tuesday,2022-02-15,15,7.0
Tuesday,2022-02-15,16,19.4
Tuesday,2022-02-15,17,15.8
Wednesday,2022-02-16,9,16.9
Wednesday,2022-02-16,10,30.2
Wednesday,2022-02-16,11,24.9
Wednesday,2022-02-16,12,5.0
Wednesday,2022-02-16,13,8.5
Wednesday,2022-02-16,14,6.7
Wednesday,2022-02-16,15,16.8
Wednesday,2022-02-16,16,23.3
Wednesday,2022-02-16,17,19.0
Thursday,2022-02-17,9,19.6
Thursday,2022-02-17,10,26.3
Thursday,2022-02-17,11,8.6
Thursday,2022-02-17,12,5.5
Thursday,2022-02-17,13,8.6
Thursday,2022-02-17,14,20.6
Thursday,2022-02-17,15,17.0
Thursday,2022-02-17,16,14.4
Thursday,2022-02-17,17,10.9
Friday,2022-02-18,9,34.4
Friday,2022-02-18,10,21.9
Friday,2022-02-18,11,27.5
Friday,2022-02-18,12,20.7
Friday,2022-02-18,13,5.3
Friday,2022-02-18,14,14.2
Friday,2022-02-18,15,7.0
Friday,2022-02-18,16,8.2
Friday,2022-02-18,17,5.5
Saturday,2022-02-19,9,11.2
Saturday,2022-02-19,10,6.5
Saturday,2022-02-19,11,15.3
Saturday,2022-02-19,12,7.2
Saturday,2022-02-19,13,13.7
Saturday,2022-02-19,14,12.1
Saturday,2022-02-19,15,9.4
Saturday,2022-02-19,16,21.4
Saturday,2022-02-19,17,5.0
Sunday,2022-02-20,9,17.4
Sunday,2022-02-20,10,17.3
Sunday,2022-02-20,11,6.4
Sunday,2022-02-20,12,7.8
Sunday,2022-02-20,13,8.1
Sunday,2022-02-20,14,7.7
Sunday,2022-02-20,15,9.6
Sunday,2022-02-20,16,10.2
Sunday,2022-02-20,17,16.9
Monday,2022-02-21,9,18.6
Monday,2022-02-21,10,14.2
Monday,2022-02-21,11,7.9
Monday,2022-02-21,12,5.6
Monday,2022-02-21,13,19.4
Monday,2022-02-21,14,16.9
Monday,2022-02-21,15,28.6
Monday,2022-02-21,16,5.7
Monday,2022-02-21,17,5.9
Tuesday,2022-02-22,9,6.8
Tuesday,2022-02-22,10,23.3
Tuesday,2022-02-22,11,16.5
Tuesday,2022-02-22,12,22.0
Tuesday,2022-02-22,13,7.8
Tuesday,2022-02-22,14,26.7
Tuesday,2022-02-22,15,29.2
Tuesday,2022-02-22,16,10.0
Tuesday,2022-02-22,17,32.7
Wednesday,2022-02-23,9,22.0
Wednesday,2022-02-23,10,22.8
Wednesday,2022-02-23,11,29.0
Wednesday,2022-02-23,12,14.3
Wednesday,2022-02-23,13,23.2
Wednesday,2022-02-23,14,20.2
Wednesday,2022-02-23,15,6.3
Wednesday,2022-02-23,16,10.9
Wednesday,2022-02-23,17,15.6
Thursday,2022-02-24,9,8.9
Thursday,2022-02-24,10,15.2
Thursday,2022-02-24,11,31.3
Thursday,2022-02-24,12,6.7
Thursday,2022-02-24,13,19.7
Thursday,2022-02-24,14,23.2
Thursday,2022-02-24,15,24.6
Thursday,2022-02-24,16,10.8
Thursday,2022-02-24,17,27.0
Friday,2022-02-25,9,24.2
Friday,2022-02-25,10,34.6
Friday,2022-02-25,11,8.8
Friday,2022-02-25,12,22.7
Friday,2022-02-25,13,11.0
Friday,2022-02-25,14,19.5
Friday,2022-02-25,15,21.3
Friday,2022-02-25,16,26.3
Friday,2022-02-25,17,22.3
Saturday,2022-02-26,9,16.5
Saturday,2022-02-26,10,10.9
Saturday,2022-02-26,11,17.0
Saturday,2022-02-26,12,9.1
Saturday,2022-02-26,13,5.6
Saturday,2022-02-26,14,17.5
Saturday,2022-02-26,15,6.0
Saturday,2022-02-26,16,8.6
Saturday,2022-02-26,17,13.9
Sunday,2022-02-27,9,22.1
Sunday,2022-02-27,10,15.9
Sunday,2022-02-27,11,17.0
Sunday,2022-02-27,12,13.5
Sunday,2022-02-27,13,9.7
Sunday,2022-02-27,14,5.0
Sunday,2022-02-27,15,13.0
Sunday,2022-02-27,16,17.2
Sunday,2022-02-27,17,14.0
Monday,2022-02-28,9,22.6
Monday,2022-02-28,10,9.5
Monday,2022-02-28,11,15.8
Monday,2022-02-28,12,9.6
Monday,2022-02-28,13,11.4
Monday,2022-02-28,14,26.4
Monday,2022-02-28,15,19.2
Monday,2022-02-28,16,16.4
Monday,2022-02-28,17,20.8
Tuesday,2022-03-01,9,33.5
Tuesday,2022-03-01,10,16.3
Tuesday,2022-03-01,11,23.8
Tuesday,2022-03-01,12,22.4
Tuesday,2022-03-01,13,16.4
Tuesday,2022-03-01,14,8.2
Tuesday,2022-03-01,15,6.9
Tuesday,2022-03-01,16,14.7
Tuesday,2022-03-01,17,30.9
Wednesday,2022-03-02,9,28.8
Wednesday,2022-03-02,10,22.4
Wednesday,2022-03-02,11,6.5
Wednesday,2022-03-02,12,9.0
Wednesday,2022-03-02,13,20.5
Wednesday,2022-03-02,14,18.8
Wednesday,2022-03-02,15,5.4
Wednesday,2022-03-02,16,25.6
Wednesday,2022-03-02,17,26.0
Thursday,2022-03-03,9,31.1
Thursday,2022-03-03,10,21.1
Thursday,2022-03-03,11,14.6
Thursday,2022-03-03,12,5.0
Thursday,2022-03-03,13,6.7
Thursday,2022-03-03,14,27.2
Thursday,2022-03-03,15,23.2
Thursday,2022-03-03,16,24.8
Thursday,2022-03-03,17,22.1
Friday,2022-03-04,9,13.9
Friday,2022-03-04,10,8.0
Friday,2022-03-04,11,13.8
Friday,2022-03-04,12,9.8
Friday,2022-03-04,13,9.1
Friday,2022-03-04,14,18.4
Friday,2022-03-04,15,28.8
Friday,2022-03-04,16,28.2
Friday,2022-03-04,17,17.0
Saturday,2022-03-05,9,19.4
Saturday,2022-03-05,10,25.1
Saturday,2022-03-05,11,6.5
Saturday,2022-03-05,12,11.5
Saturday,2022-03-05,13,9.0
Saturday,2022-03-05,14,15.9
Saturday,2022-03-05,15,9.4
Saturday,2022-03-05,16,10.5
Saturday,2022-03-05,17,12.4
Sunday,2022-03-06,9,22.3
Sunday,2022-03-06,10,22.9
Sunday,2022-03-06,11,10.8
Sunday,2022-03-06,12,8.3
Sunday,2022-03-06,13,9.9
Sunday,2022-03-06,14,7.0
Sunday,2022-03-06,15,16.7
Sunday,2022-03-06,16,8.6
Sunday,2022-03-06,17,13.5
Monday,2022-03-07,9,25.1
Monday,2022-03-07,10,15.2
Monday,2022-03-07,11,35.8
Monday,2022-03-07,12,5.0
Monday,2022-03-07,13,15.0
Monday,2022-03-07,14,12.5
Monday,2022-03-07,15,14.1
Monday,2022-03-07,16,8.0
Monday,2022-03-07,17,27.7
Tuesday,2022-03-08,9,12.0
Tuesday,2022-03-08,10,26.3
Tuesday,2022-03-08,11,28.9
Tuesday,2022-03-08,12,9.8
Tuesday,2022-03-08,13,15.6
Tuesday,2022-03-08,14,11.8
Tuesday,2022-03-08,15,12.0
Tuesday,2022-03-08,16,18.0
Tuesday,2022-03-08,17,10.3
Wednesday,2022-03-09,9,13.4
Wednesday,2022-03-09,10,25.9
Wednesday,2022-03-09,11,27.0
Wednesday,2022-03-09,12,19.2
Wednesday,2022-03-09,13,23.4
Wednesday,2022-03-09,14,15.1
Wednesday,2022-03-09,15,18.8
Wednesday,2022-03-09,16,24.0
Wednesday,2022-03-09,17,20.6
Thursday,2022-03-10,9,32.5
Thursday,2022-03-10,10,15.9
Thursday,2022-03-10,11,18.0
Thursday,2022-03-10,12,12.6
Thursday,2022-03-10,13,17.2
Thursday,2022-03-10,14,17.5
Thursday,2022-03-10,15,18.9
Thursday,2022-03-10,16,21.9
Thursday,2022-03-10,17,31.9
Friday,2022-03-11,9,24.3
Friday,2022-03-11,10,29.7
Friday,2022-03-11,11,24.4
Friday,2022-03-11,12,14.5
Friday,2022-03-11,13,18.2
Friday,2022-03-11,14,21.4
Friday,2022-03-11,15,17.9
Friday,2022-03-11,16,24.3
Friday,2022-03-11,17,22.9
Saturday,2022-03-12,9,11.8
Saturday,2022-03-12,10,9.9
Saturday,2022-03-12,11,14.1
Saturday,2022-03-12,12,8.3
Saturday,2022-03-12,13,14.2
Saturday,2022-03-12,14,8.6
Saturday,2022-03-12,15,10.1
Saturday,2022-03-12,16,17.2
Saturday,2022-03-12,17,9.7
Sunday,2022-03-13,9,5.0
Sunday,2022-03-13,10,6.0
Sunday,2022-03-13,11,6.3
Sunday,2022-03-13,12,13.3
Sunday,2022-03-13,13,7.3
Sunday,2022-03-13,14,14.3
Sunday,2022-03-13,15,13.4
Sunday,2022-03-13,16,22.1
Sunday,2022-03-13,17,14.2
Monday,2022-03-14,9,6.3
Monday,2022-03-14,10,8.4
Monday,2022-03-14,11,18.7
Monday,2022-03-14,12,10.9
Monday,2022-03-14,13,20.6
Monday,2022-03-14,14,6.8
Monday,2022-03-14,15,21.4
Monday,2022-03-14,16,18.3
Monday,2022-03-14,17,24.7
Tuesday,2022-03-15,9,7.5
Tuesday,2022-03-15,10,32.0
Tuesday,2022-03-15,11,22.5
Tuesday,2022-03-15,12,12.6
Tuesday,2022-03-15,13,11.8
Tuesday,2022-03-15,14,5.1
Tuesday,2022-03-15,15,19.8
Tuesday,2022-03-15,16,9.1
Tuesday,2022-03-15,17,17.3
Wednesday,2022-03-16,9,19.5
Wednesday,2022-03-16,10,20.5
Wednesday,2022-03-16,11,30.0
Wednesday,2022-03-16,12,13.5
Wednesday,2022-03-16,13,12.8
Wednesday,2022-03-16,14,28.1
Wednesday,2022-03-16,15,5.5
Wednesday,2022-03-16,16,13.5
Wednesday,2022-03-16,17,21.4
Thursday,2022-03-17,9,23.4
Thursday,2022-03-17,10,12.1
Thursday,2022-03-17,11,18.2
Thursday,2022-03-17,12,14.0
Thursday,2022-03-17,13,19.4
Thursday,2022-03-17,14,9.0
Thursday,2022-03-17,15,7.0
Thursday,2022-03-17,16,10.9
Thursday,2022-03-17,17,26.9
Friday,2022-03-18,9,20.0
Friday,2022-03-18,10,32.4
Friday,2022-03-18,11,34.4
Friday,2022-03-18,12,20.7
Friday,2022-03-18,13,10.6
Friday,2022-03-18,14,26.6
Friday,2022-03-18,15,17.4
Friday,2022-03-18,16,21.2
Friday,2022-03-18,17,17.7
Saturday,2022-03-19,9,10.1
Saturday,2022-03-19,10,19.2
Saturday,2022-03-19,11,17.1
Saturday,2022-03-19,12,13.8
Saturday,2022-03-19,13,10.1
Saturday,2022-03-19,14,16.2
Saturday,2022-03-19,15,12.1
Saturday,2022-03-19,16,6.0
Saturday,2022-03-19,17,7.1
Sunday,2022-03-20,9,5.0
Sunday,2022-03-20,10,18.5
Sunday,2022-03-20,11,10.2
Sunday,2022-03-20,12,7.3
Sunday,2022-03-20,13,5.0
Sunday,2022-03-20,14,8.0
Sunday,2022-03-20,15,5.0
Sunday,2022-03-20,16,18.0
Sunday,2022-03-20,17,14.8
Monday,2022-03-21,9,31.2
Monday,2022-03-21,10,33.6
Monday,2022-03-21,11,9.3
Monday,2022-03-21,12,16.0
Monday,2022-03-21,13,15.3
Monday,2022-03-21,14,22.4
Monday,2022-03-21,15,11.9
Monday,2022-03-21,16,16.6
Monday,2022-03-21,17,32.9
Tuesday,2022-03-22,9,32.2
Tuesday,2022-03-22,10,17.5
Tuesday,2022-03-22,11,25.8
Tuesday,2022-03-22,12,16.1
Tuesday,2022-03-22,13,17.8
Tuesday,2022-03-22,14,14.9
Tuesday,2022-03-22,15,13.3
Tuesday,2022-03-22,16,25.6
Tuesday,2022-03-22,17,20.7
Wednesday,2022-03-23,9,25.5
Wednesday,2022-03-23,10,25.1
Wednesday,2022-03-23,11,29.9
Wednesday,2022-03-23,12,9.9
Wednesday,2022-03-23,13,15.2
Wednesday,2022-03-23,14,27.4
Wednesday,2022-03-23,15,26.0
Wednesday,2022-03-23,16,19.4
Wednesday,2022-03-23,17,10.3
Thursday,2022-03-24,9,20.0
Thursday,2022-03-24,10,7.0
Thursday,2022-03-24,11,10.0
Thursday,2022-03-24,12,23.8
Thursday,2022-03-24,13,17.6
Thursday,2022-03-24,14,26.2
Thursday,2022-03-24,15,7.9
Thursday,2022-03-24,16,13.1
Thursday,2022-03-24,17,18.6
Friday,2022-03-25,9,22.1
Friday,2022-03-25,10,34.3
Friday,2022-03-25,11,34.8
Friday,2022-03-25,12,10.5
Friday,2022-03-25,13,14.4
Friday,2022-03-25,14,22.2
Friday,2022-03-25,15,21.5
Friday,2022-03-25,16,12.9
Friday,2022-03-25,17,7.2
Saturday,2022-03-26,9,12.0
Saturday,2022-03-26,10,11.5
Saturday,2022-03-26,11,19.5
Saturday,2022-03-26,12,12.0
Saturday,2022-03-26,13,8.2
Saturday,2022-03-26,14,11.6
Saturday,2022-03-26,15,13.0
Saturday,2022-03-26,16,7.7
Saturday,2022-03-26,17,5.9
Sunday,2022-03-27,9,5.0
Sunday,2022-03-27,10,13.7
Sunday,2022-03-27,11,14.8
Sunday,2022-03-27,12,14.1
Sunday,2022-03-27,13,5.0
Sunday,2022-03-27,14,8.0
Sunday,2022-03-27,15,16.5
Sunday,2022-03-27,16,15.4
Sunday,2022-03-27,17,11.2
Monday,2022-03-28,9,22.7
