counter_id,queue_length,status,processing_rate,delay,capacity,neighbor_counter_id,distance,reroute_capacity,is_connected
D,36,0,1.03,10,43,C,3.39,13,1
D,36,0,1.03,10,43,A,1.02,19,1
D,36,0,1.03,10,43,E,3.18,20,1
E,32,1,1.56,8,40,C,1.43,20,1
E,32,1,1.56,8,40,D,4.42,14,1
A,8,0,3.12,21,59,D,4.97,12,1
A,8,0,3.12,21,59,E,3.26,8,1
A,8,0,3.12,21,59,B,2.52,11,1
A,8,0,3.12,21,59,C,3.16,15,1
B,41,0,4.74,6,39,A,1.74,7,1
B,41,0,4.74,6,39,E,1.97,17,1
B,41,0,4.74,6,39,D,4.84,13,1
C,9,1,4.93,4,56,E,2.14,10,1
C,9,1,4.93,4,56,A,4.15,5,1
C,9,1,4.93,4,56,D,2.54,15,1
C,9,1,4.93,4,56,B,4.51,6,1
D,31,0,4.6,17,46,B,2.07,6,1
D,31,0,4.6,17,46,A,1.69,7,1
D,31,0,4.6,17,46,C,1.12,13,1
D,31,0,4.6,17,46,E,2.34,7,1
E,47,0,2.94,19,59,C,3.66,17,1
E,47,0,2.94,19,59,D,3.05,18,1
A,1,0,1.49,30,45,D,3.22,12,1
A,1,0,1.49,30,45,C,1.83,13,1
A,1,0,1.49,30,45,B,1.61,12,1
B,24,1,4.51,27,44,E,2.52,7,1
B,24,1,4.51,27,44,D,3.09,7,1
B,24,1,4.51,27,44,C,3.96,11,1
C,25,0,1.62,18,51,D,1.48,8,1
C,25,0,1.62,18,51,E,2.73,12,1
C,25,0,1.62,18,51,A,2.74,9,1
D,38,1,4.9,18,51,C,2.01,18,1
D,38,1,4.9,18,51,E,2.41,14,1
D,38,1,4.9,18,51,A,4.29,12,1
D,38,1,4.9,18,51,B,1.17,14,1
E,46,1,2.99,25,51,B,4.96,14,1
E,46,1,2.99,25,51,A,2.64,15,1
E,46,1,2.99,25,51,C,2.74,10,1
A,22,1,4.02,17,35,D,3.5,16,1
A,22,1,4.02,17,35,B,1.28,12,1
B,10,0,2.33,17,36,E,4.1,19,1
B,10,0,2.33,17,36,D,4.77,10,1
B,10,0,2.33,17,36,C,2.53,11,1
C,19,0,3.75,5,54,E,2.8,9,1
C,19,0,3.75,5,54,A,2.18,17,1
C,19,0,3.75,5,54,B,1.18,10,1
D,29,1,4.03,21,51,C,0.97,20,1
D,29,1,4.03,21,51,B,3.98,14,1
E,25,0,2.49,9,37,D,2.63,20,1
E,25,0,2.49,9,37,B,3.59,13,1
E,25,0,2.49,9,37,A,2.9,14,1
A,34,0,4.87,23,47,E,1.98,15,1
A,34,0,4.87,23,47,D,2.93,15,1
A,34,0,4.87,23,47,B,1.87,14,1
A,34,0,4.87,23,47,C,3.64,12,1
B,40,0,4.65,24,46,A,1.52,13,1
B,40,0,4.65,24,46,E,3.65,18,1
B,40,0,4.65,24,46,C,3.59,8,1
B,40,0,4.65,24,46,D,3.59,8,1
C,3,1,1.48,3,43,E,1.11,17,1
C,3,1,1.48,3,43,B,3.56,15,1
D,15,0,3.14,21,35,A,3.43,5,1
D,15,0,3.14,21,35,B,4.28,20,1
D,15,0,3.14,21,35,E,4.57,13,1
E,15,1,4.53,26,54,B,4.6,13,1
E,15,1,4.53,26,54,D,2.49,10,1
E,15,1,4.53,26,54,A,4.64,18,1
A,44,0,3.87,17,50,D,4.99,12,1
A,44,0,3.87,17,50,B,3.63,16,1
B,42,1,4.04,1,58,E,2.8,8,1
B,42,1,4.04,1,58,D,0.69,7,1
B,42,1,4.04,1,58,C,0.99,9,1
B,42,1,4.04,1,58,A,4.1,5,1
C,2,1,4.75,10,36,B,2.74,20,1
C,2,1,4.75,10,36,A,4.72,9,1
D,35,1,1.75,30,47,A,2.36,18,1
D,35,1,1.75,30,47,C,4.31,6,1
D,35,1,1.75,30,47,B,3.47,11,1
D,35,1,1.75,30,47,E,2.62,6,1
E,36,1,4.63,26,47,C,1.06,12,1
E,36,1,4.63,26,47,D,4.51,12,1
E,36,1,4.63,26,47,B,0.65,6,1
E,36,1,4.63,26,47,A,2.05,20,1
A,8,1,2.51,8,37,C,3.1,8,1
A,8,1,2.51,8,37,D,1.11,16,1
B,41,1,2.24,4,54,C,2.28,14,1
B,41,1,2.24,4,54,E,4.58,16,1
B,41,1,2.24,4,54,D,3.36,16,1
C,2,0,4.88,24,38,E,3.14,8,1
C,2,0,4.88,24,38,A,4.08,5,1
C,2,0,4.88,24,38,D,0.98,7,1
D,40,0,4.41,9,59,C,2.39,20,1
D,40,0,4.41,9,59,A,1.92,5,1
D,40,0,4.41,9,59,E,3.17,20,1
D,40,0,4.41,9,59,B,3.08,20,1
E,13,0,3.91,14,38,B,0.72,14,1
E,13,0,3.91,14,38,C,4.96,18,1
E,13,0,3.91,14,38,A,0.85,9,1
E,13,0,3.91,14,38,D,2.78,19,1
A,31,0,3.43,1,53,C,3.33,5,1
A,31,0,3.43,1,53,E,2.8,20,1
A,31,0,3.43,1,53,B,0.52,7,1
B,30,1,2.55,12,49,C,1.33,9,1
B,30,1,2.55,12,49,E,3.73,11,1
B,30,1,2.55,12,49,D,4.59,11,1
B,30,1,2.55,12,49,A,3.44,7,1
C,21,1,4.17,9,52,A,2.56,20,1
C,21,1,4.17,9,52,E,3.45,7,1
C,21,1,4.17,9,52,B,3.63,7,1
D,10,0,5,26,34,E,1.36,17,1
D,10,0,5,26,34,C,3.58,5,1
D,10,0,5,26,34,B,2.34,17,1
D,10,0,5,26,34,A,3.65,20,1
E,44,0,1.47,9,35,D,1.15,10,1
E,44,0,1.47,9,35,B,3.71,17,1
E,44,0,1.47,9,35,C,2.88,18,1
A,22,0,4.95,9,55,C,1.31,6,1
A,22,0,4.95,9,55,E,4.36,20,1
B,19,0,4.26,6,38,E,4.51,11,1
B,19,0,4.26,6,38,A,2.58,5,1
B,19,0,4.26,6,38,C,1.35,15,1
C,11,1,3.44,5,60,D,4.48,13,1
C,11,1,3.44,5,60,A,3.32,17,1
D,0,0,3.06,27,60,A,0.62,12,1
D,0,0,3.06,27,60,C,2.03,17,1
E,37,1,1.11,16,44,A,2.79,5,1
E,37,1,1.11,16,44,D,3.14,6,1
E,37,1,1.11,16,44,C,1.97,17,1
E,37,1,1.11,16,44,B,1.87,6,1
A,29,1,2.86,24,40,B,0.91,15,1
A,29,1,2.86,24,40,E,3.12,12,1
B,13,0,4.33,21,32,D,1.4,16,1
B,13,0,4.33,21,32,E,1.43,10,1
C,23,1,2.03,10,41,E,3.56,9,1
C,23,1,2.03,10,41,B,1.62,6,1
C,23,1,2.03,10,41,D,2,13,1
D,25,1,2.47,22,38,C,3.55,18,1
D,25,1,2.47,22,38,E,4.26,8,1
E,30,1,1.14,23,36,C,1.08,12,1
E,30,1,1.14,23,36,B,1.63,17,1
A,28,0,3.07,15,45,C,2.5,8,1
A,28,0,3.07,15,45,E,4.26,15,1
B,40,0,2.34,30,50,C,2.83,14,1
B,40,0,2.34,30,50,A,0.68,20,1
C,23,1,2.08,7,57,E,2.05,15,1
C,23,1,2.08,7,57,A,3.28,5,1
D,20,0,3.11,9,56,B,1.03,18,1
D,20,0,3.11,9,56,C,3.1,9,1
E,11,0,1.8,25,38,C,1.24,13,1
E,11,0,1.8,25,38,D,0.58,12,1
E,11,0,1.8,25,38,B,3.5,8,1
E,11,0,1.8,25,38,A,2.91,20,1
A,28,1,4.75,20,47,B,2.4,6,1
A,28,1,4.75,20,47,C,2.68,13,1
A,28,1,4.75,20,47,D,4.49,20,1
B,38,1,1.75,8,56,C,2.71,20,1
B,38,1,1.75,8,56,D,4.79,6,1
C,38,1,3.75,4,44,A,2.86,7,1
C,38,1,3.75,4,44,E,3.33,11,1
C,38,1,3.75,4,44,B,1.74,20,1
D,8,0,1.42,30,41,E,2.81,11,1
D,8,0,1.42,30,41,A,2.8,13,1
D,8,0,1.42,30,41,C,2.39,15,1
E,20,0,3.67,22,43,B,1.47,12,1
E,20,0,3.67,22,43,A,3.35,10,1
E,20,0,3.67,22,43,D,2.57,8,1
A,14,1,3.08,0,37,C,0.52,16,1
A,14,1,3.08,0,37,B,1.08,16,1
A,14,1,3.08,0,37,D,1.72,13,1
B,31,0,2.86,29,60,C,2.05,18,1
B,31,0,2.86,29,60,D,4.15,10,1
B,31,0,2.86,29,60,A,4.15,5,1
C,12,0,4.58,15,33,A,1.48,18,1
C,12,0,4.58,15,33,B,3.84,10,1
C,12,0,4.58,15,33,D,0.56,14,1
D,40,1,3.81,6,42,A,1.59,14,1
D,40,1,3.81,6,42,C,1.46,11,1
D,40,1,3.81,6,42,E,1.22,6,1
D,40,1,3.81,6,42,B,0.9,9,1
E,4,0,2.67,29,54,B,4.58,19,1
E,4,0,2.67,29,54,A,3.19,13,1
E,4,0,2.67,29,54,D,3.44,20,1
A,25,1,3.09,16,42,E,2.14,20,1
A,25,1,3.09,16,42,D,4.73,9,1
A,25,1,3.09,16,42,C,4.73,15,1
B,12,0,3.67,28,40,E,2.62,10,1
B,12,0,3.67,28,40,C,3.11,7,1
C,4,1,3.93,19,54,E,1.26,20,1
C,4,1,3.93,19,54,A,2.99,19,1
C,4,1,3.93,19,54,B,2.93,13,1
C,4,1,3.93,19,54,D,4.98,9,1
D,25,0,3.12,16,36,C,3.4,15,1
D,25,0,3.12,16,36,A,3.24,16,1
D,25,0,3.12,16,36,E,4.42,7,1
D,25,0,3.12,16,36,B,4.91,9,1
E,32,0,1.68,28,34,B,0.6,16,1
E,32,0,1.68,28,34,D,4.2,7,1
E,32,0,1.68,28,34,C,2.68,19,1
E,32,0,1.68,28,34,A,3.95,8,1
A,4,0,1.61,28,46,B,4,13,1
A,4,0,1.61,28,46,D,1.89,5,1
A,4,0,1.61,28,46,C,4.82,18,1
A,4,0,1.61,28,46,E,1.2,14,1
B,34,0,1.33,0,45,D,4.03,9,1
B,34,0,1.33,0,45,E,2.5,19,1
C,36,1,2.17,26,53,E,1.71,15,1
C,36,1,2.17,26,53,B,1.58,13,1
D,35,0,1.02,24,37,C,3.55,17,1
D,35,0,1.02,24,37,E,4.45,9,1
D,35,0,1.02,24,37,A,4.99,15,1
E,36,0,2.39,10,32,B,2.57,15,1
E,36,0,2.39,10,32,C,4.25,14,1
A,42,1,1.31,6,34,B,2.87,20,1
A,42,1,1.31,6,34,E,4.7,16,1
A,42,1,1.31,6,34,C,1.31,16,1
B,25,1,2.95,6,47,E,3.91,9,1
B,25,1,2.95,6,47,A,4.39,18,1
B,25,1,2.95,6,47,D,1.92,19,1
B,25,1,2.95,6,47,C,4.06,15,1
C,6,0,4.92,14,60,D,4.5,5,1
C,6,0,4.92,14,60,B,4.92,18,1
D,17,0,3.16,22,39,C,3.04,15,1
D,17,0,3.16,22,39,B,3.52,20,1
D,17,0,3.16,22,39,E,2.71,20,1
E,45,0,1.04,11,60,A,3.83,12,1
E,45,0,1.04,11,60,D,3.12,11,1
A,3,0,1.67,19,49,B,2.89,16,1
A,3,0,1.67,19,49,E,3.62,10,1
A,3,0,1.67,19,49,C,0.77,9,1
B,23,0,1.83,14,31,D,2.59,12,1
B,23,0,1.83,14,31,A,1.99,6,1
C,6,0,1.17,27,44,E,4.72,7,1
C,6,0,1.17,27,44,D,4.2,6,1
C,6,0,1.17,27,44,A,1.06,17,1
D,46,0,3.78,0,31,C,2.72,7,1
D,46,0,3.78,0,31,E,4.72,10,1
E,7,1,3.81,19,37,D,3.61,15,1
E,7,1,3.81,19,37,C,3.33,20,1
E,7,1,3.81,19,37,A,4.75,20,1
E,7,1,3.81,19,37,B,4.54,8,1
A,29,1,2.36,4,55,D,4.94,17,1
A,29,1,2.36,4,55,B,1.67,11,1
A,29,1,2.36,4,55,C,4.38,20,1
B,49,1,4.78,11,38,A,3.45,11,1
B,49,1,4.78,11,38,D,2.31,9,1
B,49,1,4.78,11,38,C,2.42,14,1
B,49,1,4.78,11,38,E,0.53,9,1
C,26,1,2.65,21,55,D,1.16,11,1
C,26,1,2.65,21,55,E,1.35,6,1
C,26,1,2.65,21,55,B,2.52,7,1
D,20,1,3.82,19,36,E,0.53,9,1
D,20,1,3.82,19,36,C,1.36,5,1
D,20,1,3.82,19,36,A,2.23,10,1
D,20,1,3.82,19,36,B,3.62,13,1
E,5,1,2.98,16,47,A,2.78,17,1
E,5,1,2.98,16,47,C,3.88,15,1
E,5,1,2.98,16,47,B,3.06,8,1
A,13,1,4.39,6,50,D,3.78,6,1
A,13,1,4.39,6,50,E,2.07,8,1
A,13,1,4.39,6,50,C,1.45,12,1
B,9,0,2.14,19,47,D,4.67,18,1
B,9,0,2.14,19,47,E,4.55,12,1
B,9,0,2.14,19,47,A,2.78,8,1
B,9,0,2.14,19,47,C,3.93,10,1
C,1,1,1.27,2,48,A,3.48,10,1
C,1,1,1.27,2,48,E,1.26,6,1
C,1,1,1.27,2,48,B,3.27,11,1
D,19,0,3.66,27,30,A,3.59,5,1
D,19,0,3.66,27,30,C,4.21,20,1
D,19,0,3.66,27,30,B,0.67,20,1
D,19,0,3.66,27,30,E,0.99,17,1
E,13,0,3.67,22,60,D,2.64,17,1
E,13,0,3.67,22,60,A,4.65,6,1
E,13,0,3.67,22,60,B,3.79,17,1
E,13,0,3.67,22,60,C,3.02,9,1
A,8,1,4.16,11,53,D,1.89,16,1
A,8,1,4.16,11,53,C,3.68,5,1
A,8,1,4.16,11,53,E,4.7,16,1
A,8,1,4.16,11,53,B,3.88,13,1
B,28,0,1.41,0,58,C,3.4,6,1
B,28,0,1.41,0,58,A,2.62,10,1
B,28,0,1.41,0,58,D,4.73,10,1
C,28,1,4.08,17,49,A,4.85,16,1
C,28,1,4.08,17,49,B,2.41,5,1
D,14,0,3.36,30,46,E,3.16,5,1
D,14,0,3.36,30,46,B,0.7,18,1
E,15,1,4.24,27,58,B,3.54,17,1
E,15,1,4.24,27,58,A,0.96,5,1
A,34,0,3.8,3,38,B,2.81,10,1
A,34,0,3.8,3,38,E,1.43,6,1
B,45,1,3.78,28,44,A,2.52,19,1
B,45,1,3.78,28,44,E,0.82,19,1
B,45,1,3.78,28,44,D,4.59,14,1
C,50,1,2.03,9,47,E,4.31,14,1
C,50,1,2.03,9,47,A,3.71,9,1
C,50,1,2.03,9,47,B,2.77,9,1
D,35,1,3.99,21,40,B,2.96,10,1
D,35,1,3.99,21,40,E,0.97,10,1
D,35,1,3.99,21,40,C,2.23,16,1
E,17,0,3.75,25,37,D,4.78,10,1
E,17,0,3.75,25,37,C,4.87,16,1
E,17,0,3.75,25,37,B,4.49,17,1
A,27,0,1.88,22,57,B,0.78,19,1
A,27,0,1.88,22,57,E,4.2,7,1
A,27,0,1.88,22,57,C,3.16,18,1
A,27,0,1.88,22,57,D,4.29,6,1
B,37,0,3.73,20,55,E,0.57,11,1
B,37,0,3.73,20,55,A,4.73,7,1
C,23,1,4.61,12,58,D,1.32,6,1
C,23,1,4.61,12,58,B,4.72,16,1
C,23,1,4.61,12,58,A,4.7,8,1
C,23,1,4.61,12,58,E,1.13,17,1
D,17,0,3.56,8,50,E,2.58,18,1
D,17,0,3.56,8,50,A,1.43,10,1
E,35,0,4.39,9,58,D,0.93,6,1
E,35,0,4.39,9,58,A,1.27,19,1
A,47,1,1.88,23,49,C,3.85,6,1
A,47,1,1.88,23,49,E,3.7,9,1
A,47,1,1.88,23,49,D,1.43,11,1
B,5,0,2.92,8,38,D,1.01,12,1
B,5,0,2.92,8,38,E,1.53,14,1
B,5,0,2.92,8,38,C,1.35,11,1
B,5,0,2.92,8,38,A,1.6,10,1
C,22,1,2.74,26,52,A,4.76,6,1
C,22,1,2.74,26,52,D,3.41,19,1
C,22,1,2.74,26,52,E,3.07,7,1
C,22,1,2.74,26,52,B,2.81,13,1
D,10,0,2.22,23,53,E,4.49,9,1
D,10,0,2.22,23,53,B,2.87,9,1
D,10,0,2.22,23,53,C,4.38,13,1
E,10,1,2.03,2,38,A,4.1,7,1
E,10,1,2.03,2,38,D,1.07,10,1
A,48,0,1.35,2,55,B,1.45,10,1
A,48,0,1.35,2,55,C,4.44,11,1
A,48,0,1.35,2,55,D,4.04,5,1
B,11,0,3.83,5,40,A,3.79,9,1
B,11,0,3.83,5,40,E,4.36,19,1
B,11,0,3.83,5,40,D,1.36,16,1
B,11,0,3.83,5,40,C,2.96,6,1
C,44,1,1.8,26,40,B,1.45,7,1
C,44,1,1.8,26,40,E,2.47,12,1
C,44,1,1.8,26,40,D,1.07,12,1
C,44,1,1.8,26,40,A,2.04,12,1
D,25,0,1.55,14,44,E,4.66,11,1
D,25,0,1.55,14,44,C,0.67,18,1
D,25,0,1.55,14,44,B,2.2,8,1
D,25,0,1.55,14,44,A,4.26,8,1
E,8,1,2.08,23,54,C,2.46,17,1
E,8,1,2.08,23,54,B,2.27,9,1
A,26,1,4.56,11,30,B,1.6,19,1
A,26,1,4.56,11,30,D,3.59,6,1
A,26,1,4.56,11,30,C,3.83,20,1
A,26,1,4.56,11,30,E,4.35,15,1
B,4,0,3.64,29,33,A,3.76,19,1
B,4,0,3.64,29,33,E,3.59,9,1
C,22,1,1.65,7,49,B,3.09,5,1
C,22,1,1.65,7,49,D,4.56,18,1
C,22,1,1.65,7,49,E,1.05,7,1
D,15,1,1.81,24,43,E,3.02,6,1
D,15,1,1.81,24,43,C,4.33,12,1
D,15,1,1.81,24,43,A,2.16,18,1
E,20,0,3.27,26,31,D,1.61,6,1
E,20,0,3.27,26,31,A,1.23,18,1
E,20,0,3.27,26,31,B,1.3,6,1
A,15,1,4.75,4,40,B,2.51,9,1
A,15,1,4.75,4,40,D,4.33,15,1
B,43,1,2.32,12,30,D,4.58,13,1
B,43,1,2.32,12,30,A,2.44,16,1
B,43,1,2.32,12,30,E,4.89,20,1
C,50,0,1.68,6,58,D,4.62,8,1
C,50,0,1.68,6,58,E,2.52,17,1
C,50,0,1.68,6,58,B,4.35,5,1
C,50,0,1.68,6,58,A,3.39,15,1
D,36,0,2.79,24,44,A,3.12,16,1
D,36,0,2.79,24,44,C,0.77,15,1
D,36,0,2.79,24,44,E,2.83,7,1
D,36,0,2.79,24,44,B,4.64,12,1
E,23,1,2.38,5,32,B,3.73,12,1
E,23,1,2.38,5,32,A,1.67,5,1
A,47,0,2.05,4,46,E,2.56,14,1
A,47,0,2.05,4,46,B,3.75,9,1
A,47,0,2.05,4,46,D,2.58,9,1
B,49,0,3.23,23,40,D,2.27,5,1
B,49,0,3.23,23,40,C,1.7,9,1
B,49,0,3.23,23,40,E,1.94,10,1
C,25,0,1.44,12,42,D,3.72,8,1
C,25,0,1.44,12,42,E,4.08,14,1
C,25,0,1.44,12,42,A,3.98,11,1
D,35,1,2.79,19,41,C,1.53,17,1
D,35,1,2.79,19,41,B,3.95,16,1
D,35,1,2.79,19,41,A,2.33,14,1
D,35,1,2.79,19,41,E,4.86,17,1
E,23,1,1.19,15,32,C,0.95,14,1
E,23,1,1.19,15,32,B,4.74,10,1
E,23,1,1.19,15,32,A,0.66,6,1
A,41,0,2.49,2,34,C,2.87,18,1
A,41,0,2.49,2,34,E,4.23,5,1
B,28,0,4.43,12,37,C,3.49,8,1
B,28,0,4.43,12,37,D,4.46,6,1
B,28,0,4.43,12,37,A,3.39,6,1
B,28,0,4.43,12,37,E,3.03,14,1
C,39,0,3.73,16,52,A,0.73,20,1
C,39,0,3.73,16,52,E,3.29,10,1
C,39,0,3.73,16,52,D,3.94,17,1
C,39,0,3.73,16,52,B,4.95,9,1
D,27,0,4.41,17,36,B,2.12,12,1
D,27,0,4.41,17,36,A,0.97,19,1
D,27,0,4.41,17,36,C,4.2,10,1
E,46,0,3.4,1,56,A,1.93,11,1
E,46,0,3.4,1,56,B,1.35,16,1
E,46,0,3.4,1,56,C,4.19,14,1
E,46,0,3.4,1,56,D,3.45,5,1
A,21,0,1.58,5,45,D,0.86,15,1
A,21,0,1.58,5,45,E,4.49,5,1
B,5,1,1.61,7,60,A,3.4,20,1
B,5,1,1.61,7,60,C,1.94,14,1
B,5,1,1.61,7,60,E,4.86,18,1
B,5,1,1.61,7,60,D,1.74,19,1
C,5,0,3.17,14,39,B,2.69,9,1
C,5,0,3.17,14,39,D,2.92,18,1
D,46,0,3.97,19,32,C,4.37,9,1
D,46,0,3.97,19,32,B,4.47,11,1
E,12,1,4.86,12,59,C,4.91,18,1
E,12,1,4.86,12,59,D,4.66,10,1
A,23,0,3.05,1,33,D,1.35,11,1
A,23,0,3.05,1,33,C,3.39,12,1
A,23,0,3.05,1,33,B,0.87,18,1
A,23,0,3.05,1,33,E,1.18,16,1
B,34,0,4.09,28,59,E,2.98,7,1
B,34,0,4.09,28,59,C,3.51,16,1
B,34,0,4.09,28,59,D,0.84,10,1
C,16,1,4.23,13,38,E,1.89,13,1
C,16,1,4.23,13,38,B,2.28,10,1
D,32,1,1.41,13,35,B,0.95,9,1
D,32,1,1.41,13,35,C,4.25,14,1
D,32,1,1.41,13,35,E,4.85,19,1
E,41,1,1.02,17,35,B,3.72,12,1
E,41,1,1.02,17,35,C,1.91,16,1
E,41,1,1.02,17,35,D,3.91,14,1
A,16,0,4.44,11,39,C,0.92,8,1
A,16,0,4.44,11,39,B,4.72,17,1
A,16,0,4.44,11,39,E,2.29,13,1
B,18,1,3.99,6,41,D,2.43,7,1
B,18,1,3.99,6,41,C,1.47,16,1
C,2,0,1.5,23,42,B,4.36,19,1
C,2,0,1.5,23,42,D,4.92,15,1
C,2,0,1.5,23,42,E,2.24,17,1
C,2,0,1.5,23,42,A,4.67,14,1
D,47,1,3.11,20,39,B,2.39,6,1
D,47,1,3.11,20,39,A,4.31,15,1
E,2,0,1.85,24,37,A,2.19,12,1
